canonicalPrintingId,language,region,canonicalSetId,releaseYear,providers,cardType,promoStatus,gapReason,permissionState,credentialsRequired,identityState
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|4|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|5|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|6|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|7|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|9|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|2|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|3|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|4|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|5|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|6|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|7|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e0937d97da41bd7d|9|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2015xy,2015,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
